ID Cliente,Data da Compra,Produto,Quantidade,Preço Unitário,Valor Total,Forma de Pagamento
CLI022,2025-03-30 20:31:01.742123,Produto C,4,67.08290509006031,268.33162036024123,Cartão de Crédito
CLI023,2025-04-29 20:31:01.742123,Produto A,2,26.204004001720172,52.408008003440344,Pix
CLI024,2025-03-31 20:31:01.742123,Produto E,1,91.60416422476713,91.60416422476713,Cartão de Crédito
CLI025,2024-12-13 20:31:01.742123,Produto D,1,107.74851941308533,107.74851941308533,Boleto
CLI026,2025-01-22 20:31:01.742123,Produto E,1,141.74598040998242,141.74598040998242,Pix
CLI027,2025-03-02 20:31:01.742123,Produto D,5,34.14492205797654,170.7246102898827,Cartão de Crédito
CLI028,2024-05-13 20:31:01.742123,Produto D,4,13.941571431615413,55.76628572646165,Pix
CLI029,2024-12-08 20:31:01.742123,Produto D,3,138.03759544205607,414.11278632616825,Cartão de Crédito
CLI030,2024-05-29 20:31:01.742123,Produto B,4,125.215820994068,500.863283976272,Pix
CLI031,2024-11-23 20:31:01.742123,Produto E,3,108.77169776150107,326.31509328450323,Cartão de Crédito
CLI032,2024-11-09 20:31:01.742123,Produto E,2,42.158907471727844,84.31781494345569,Cartão de Crédito
CLI033,2024-08-01 20:31:01.742123,Produto A,2,192.31965199922203,384.63930399844406,Cartão de Crédito
CLI034,2024-06-06 20:31:01.742123,Produto B,1,191.1596562342291,191.1596562342291,Cartão de Crédito
CLI035,2024-08-26 20:31:01.742123,Produto B,4,152.54293886067344,610.1717554426938,Boleto
CLI036,2025-04-25 20:31:01.742123,Produto A,4,174.03252536268883,696.1301014507553,Pix
CLI037,2024-05-20 20:31:01.742123,Produto A,3,21.439851970184932,64.3195559105548,Pix
CLI038,2025-02-05 20:31:01.742123,Produto B,5,15.161979221350178,75.80989610675088,Cartão de Crédito
CLI039,2024-08-31 20:31:01.742123,Produto A,5,66.10373606847274,330.5186803423637,Pix
CLI040,2025-01-18 20:31:01.742123,Produto D,5,161.41286408181753,807.0643204090877,Cartão de Crédito
CLI041,2024-09-19 20:31:01.742123,Produto E,1,156.74378357907952,156.74378357907952,Cartão de Crédito
CLI042,2025-01-08 20:31:01.742123,Produto C,2,174.64739260443002,349.29478520886005,Pix
CLI043,2024-09-02 20:31:01.742123,Produto C,2,91.15195445749023,182.30390891498047,Boleto
CLI044,2024-10-30 20:31:01.742123,Produto D,1,90.316205942322,90.316205942322,Boleto
CLI045,2025-03-26 20:31:01.742123,Produto D,5,196.95984123860302,984.7992061930152,Pix
CLI046,2024-12-22 20:31:01.742123,Produto B,2,199.03607593907057,398.07215187814114,Boleto
CLI047,2024-06-27 20:31:01.742123,Produto D,5,178.52869201526312,892.6434600763156,Pix
CLI048,2025-02-06 20:31:01.742123,Produto C,2,46.730505939335615,93.46101187867123,Pix
CLI049,2024-05-01 20:31:01.742123,Produto C,1,146.35469043854314,146.35469043854314,Cartão de Crédito
CLI050,2025-02-03 20:31:01.742123,Produto A,3,152.19701889571556,456.59105668714665,Pix
CLI051,2025-02-10 20:31:01.742123,Produto A,4,165.4872170515609,661.9488682062436,Cartão de Crédito
CLI052,2024-05-04 20:31:01.742123,Produto A,2,138.97455569587166,277.9491113917433,Cartão de Crédito
CLI053,2025-01-12 20:31:01.742123,Produto A,3,149.54637555342228,448.6391266602668,Cartão de Crédito
CLI054,2024-07-17 20:31:01.742123,Produto D,2,59.0073863527379,118.0147727054758,Cartão de Crédito
CLI055,2024-10-15 20:31:01.742123,Produto C,5,178.86451329192946,894.3225664596473,Pix
CLI056,2024-08-12 20:31:01.742123,Produto D,1,10.85890922388882,10.85890922388882,Boleto
CLI057,2025-01-22 20:31:01.742123,Produto A,4,18.116761891728885,72.46704756691554,Cartão de Crédito
CLI058,2024-12-30 20:31:01.742123,Produto E,1,192.13150310242645,192.13150310242645,Pix
CLI059,2025-02-15 20:31:01.742123,Produto E,1,183.42984611343286,183.42984611343286,Pix
CLI060,2024-08-16 20:31:01.742123,Produto C,1,42.30026027419089,42.30026027419089,Cartão de Crédito
CLI061,2024-07-10 20:31:01.742123,Produto A,2,48.808080841920386,97.61616168384077,Boleto
CLI062,2024-07-05 20:31:01.742123,Produto D,4,180.35507543561727,721.4203017424691,Cartão de Crédito
CLI063,2024-07-13 20:31:01.742123,Produto B,4,52.55012176563685,210.2004870625474,Pix
CLI064,2024-10-28 20:31:01.742123,Produto E,5,124.48044723003981,622.4022361501991,Boleto
CLI065,2025-04-22 20:31:01.742123,Produto C,1,73.12381024529492,73.12381024529492,Cartão de Crédito
CLI066,2024-09-28 20:31:01.742123,Produto C,4,95.94173033564235,383.7669213425694,Cartão de Crédito
CLI067,2025-04-05 20:31:01.742123,Produto A,4,148.8038864071771,595.2155456287084,Boleto
CLI068,2024-07-31 20:31:01.742123,Produto D,2,165.5535660912242,331.1071321824484,Boleto
CLI069,2025-01-20 20:31:01.742123,Produto B,3,10.840442354328031,32.52132706298409,Pix
CLI070,2025-04-11 20:31:01.742123,Produto C,1,84.67235866346462,84.67235866346462,Cartão de Crédito
CLI071,2024-12-30 20:31:01.742123,Produto E,1,76.18809287934873,76.18809287934873,Boleto
CLI072,2025-02-10 20:31:01.742123,Produto C,2,88.6993886425585,177.398777285117,Pix
CLI073,2024-05-18 20:31:01.742123,Produto E,4,53.1503930152323,212.6015720609292,Boleto
CLI074,2024-11-15 20:31:01.742123,Produto D,1,66.56665458735154,66.56665458735154,Boleto
CLI075,2025-02-03 20:31:01.742123,Produto E,5,125.70102431610935,628.5051215805468,Boleto
CLI076,2025-03-22 20:31:01.742123,Produto B,5,108.26759178275934,541.3379589137967,Boleto
CLI077,2024-07-31 20:31:01.742123,Produto D,2,27.80987248078869,55.61974496157738,Pix
CLI078,2024-11-06 20:31:01.742123,Produto C,3,44.324151903015796,132.97245570904738,Pix
CLI079,2024-07-14 20:31:01.742123,Produto A,1,162.18894729175324,162.18894729175324,Boleto
CLI080,2024-07-26 20:31:01.742123,Produto A,5,46.991586389579744,234.95793194789871,Cartão de Crédito
CLI081,2025-02-06 20:31:01.742123,Produto A,5,74.43208351699069,372.16041758495345,Cartão de Crédito
CLI082,2024-07-25 20:31:01.742123,Produto C,3,69.10090377036528,207.30271131109583,Pix
CLI083,2024-07-14 20:31:01.742123,Produto E,3,165.1736715043412,495.5210145130236,Boleto
CLI084,2025-04-22 20:31:01.742123,Produto D,1,80.4698240069627,80.4698240069627,Boleto
CLI085,2025-02-18 20:31:01.742123,Produto A,2,197.4316773960725,394.863354792145,Boleto
CLI086,2024-08-03 20:31:01.742123,Produto C,1,121.0923646145363,121.0923646145363,Cartão de Crédito
CLI087,2024-07-30 20:31:01.742123,Produto A,1,133.60612445917388,133.60612445917388,Cartão de Crédito
CLI088,2024-07-31 20:31:01.742123,Produto D,1,71.35563634468893,71.35563634468893,Boleto
CLI089,2025-01-14 20:31:01.742123,Produto C,5,47.553812527002805,237.76906263501402,Boleto
CLI090,2024-12-31 20:31:01.742123,Produto A,1,20.539223285005654,20.539223285005654,Pix
CLI091,2025-04-19 20:31:01.742123,Produto D,5,20.929948668503464,104.64974334251733,Cartão de Crédito
CLI092,2024-12-08 20:31:01.742123,Produto E,2,194.71340169904505,389.4268033980901,Cartão de Crédito
CLI093,2024-09-12 20:31:01.742123,Produto C,3,164.80634962525997,494.41904887577994,Cartão de Crédito
CLI094,2024-09-08 20:31:01.742123,Produto B,5,19.451539352104103,97.25769676052052,Cartão de Crédito
CLI095,2024-07-14 20:31:01.742123,Produto C,4,81.65499831032533,326.6199932413013,Pix
CLI096,2024-07-24 20:31:01.742123,Produto A,1,124.2850162859329,124.2850162859329,Pix
CLI097,2024-05-20 20:31:01.742123,Produto A,5,58.24503039372729,291.22515196863645,Cartão de Crédito
CLI098,2024-08-22 20:31:01.742123,Produto C,3,199.40764963895106,598.2229489168532,Boleto
CLI099,2024-12-14 20:31:01.742123,Produto E,5,123.17577833741946,615.8788916870973,Pix
CLI100,2024-10-16 20:31:01.742123,Produto D,2,66.90880890058352,133.81761780116705,Boleto
